Time,steps,calories,floors,distance,heart
06:37:00,0,1.153599977,0,0,62
06:38:00,0,1.153599977,0,0,62
06:39:00,0,1.153599977,0,0,63
06:40:00,0,1.153599977,0,0,64
06:41:00,0,1.153599977,0,0,63
06:42:00,0,1.153599977,0,0,61
06:43:00,0,1.153599977,0,0,63
06:44:00,0,1.153599977,0,0,62
06:45:00,0,1.153599977,0,0,63
06:46:00,0,1.153599977,0,0,64
06:47:00,0,1.153599977,0,0,62
06:48:00,0,1.153599977,0,0,61
06:49:00,0,1.153599977,0,0,63
06:50:00,0,1.153599977,0,0,64
06:51:00,0,1.153599977,0,0,66
06:52:00,0,1.153599977,0,0,62
06:53:00,0,1.153599977,0,0,62
06:54:00,0,1.153599977,0,0,63
06:55:00,0,1.153599977,0,0,64
06:56:00,0,1.153599977,0,0,64
06:57:00,0,1.153599977,0,0,62
06:58:00,0,1.153599977,0,0,58
06:59:00,0,1.153599977,0,0,56
07:00:00,0,1.153599977,0,0,56
07:01:00,0,1.153599977,0,0,56
07:02:00,0,1.153599977,0,0,58
07:03:00,0,1.153599977,0,0,57
07:04:00,0,1.153599977,0,0,58
07:05:00,0,1.153599977,0,0,57
07:06:00,0,1.153599977,0,0,55
07:07:00,0,1.153599977,0,0,57
07:08:00,0,1.153599977,0,0,56
07:09:00,0,1.153599977,0,0,62
07:10:00,0,1.153599977,0,0,59
07:11:00,0,1.153599977,0,0,61
07:12:00,0,1.153599977,0,0,61
07:13:00,0,1.153599977,0,0,66
07:14:00,0,1.153599977,0,0,70
07:15:00,0,1.153599977,0,0,63
07:16:00,0,1.153599977,0,0,62
07:17:00,0,1.153599977,0,0,55
07:18:00,0,1.153599977,0,0,55
07:19:00,0,1.153599977,0,0,58
07:20:00,0,1.268959999,0,0,60
07:21:00,0,1.153599977,0,0,55
07:22:00,0,1.153599977,0,0,54
07:23:00,0,1.153599977,0,0,58
07:24:00,0,1.153599977,0,0,58
07:25:00,0,1.153599977,0,0,63
07:26:00,0,1.153599977,0,0,62
07:27:00,0,1.153599977,0,0,60
07:28:00,0,1.153599977,0,0,64
07:29:00,0,1.153599977,0,0,65
07:30:00,0,1.153599977,0,0,62
07:31:00,0,1.153599977,0,0,54
07:32:00,0,1.153599977,0,0,54
07:33:00,0,1.153599977,0,0,57
07:34:00,0,1.153599977,0,0,55
07:35:00,0,1.153599977,0,0,57
07:36:00,0,1.153599977,0,0,59
07:37:00,0,1.153599977,0,0,56
07:38:00,0,1.268959999,0,0,54
07:39:00,0,1.153599977,0,0,56
07:40:00,0,1.153599977,0,0,61
07:41:00,0,1.153599977,0,0,54
07:42:00,0,1.153599977,0,0,56
